Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Legal Services Board,Ministry of Justice,Executive NDPB,Retain,Yes,"The Legal Services Board (LSB) oversees the regulation of legal services in England and Wales. It does this through its oversight of eleven bodies, the approved regulators, who themselves regulate directly the circa 167,000 lawyers practising throughout the jurisdiction. The LSB does not regulate any legal service provider directly. Working with the approved regulators, the LSB is responsible for ensuring the highest standards of competence, conduct and service in the legal profession both for the benefit of individual consumers and the public generally. The LSB is also responsible for appointing the Office for Legal Complaints, to administer an ombudsman scheme to deal with consumersÕ complaints about legal services.",Established 2009.  LSB is funded fully by a levy on the approved regulators of the legal profession and receives no grant in aid.,"One Kemble Street, London, WC2B 4AN
London
WC2B 4AN",020 7271 0050,contactus@legalservicesboard.org.uk,http://www.legalservicesboard.org.uk/,Sir Michael Pitt,"£63,000",Richard Moriarty,"£142,500 (FYE)",No,Yes,Yes,-,2013-14,2012,£0,"£3,921,000",29,NAO,Yes,Ministerial,Paid,1,-,-,7 Ministerial,Paid,4,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Low Pay Commission,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,No,The Low Pay Commission advises the Government on the National Minimum Wage under an annual remit.,"Established 1997. A salary is not paid to the Chair or other Low Pay Commissioners. However, they are entitled to receive a fee for attending meetings and can also claim expenses. ","8th Floor, Fleetbank House, 2-6 Salisbury Square, London, EC4Y 8JX",020 7211 8119,lpc@lowpay.gov.uk,https://www.gov.uk/government/organisations/low-pay-commission,David Norgrove,£0,Simon Blake,Civil Servant,No,No,Yes,PHSO,2014,2013,"£827,000","£827,000",8,NAO,Yes,Ministerial,Unpaid,1,-,-,Ministerial,Unpaid,5,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Marine Management Organisation,"Department for Environment, Food and Rural Affairs",Executive NDPB,Retain,Yes,"A range of responsibilities, including implementing a new marine planning system and licensing regime; managing UK fishing fleet capacity and UK fisheries quotas; working with Natural England and the Joint Nature Conservation Committee (JNCC) to manage a network of marine protected areas; responding to marine emergencies alongside other agencies.",Executive NDPB established and given powers under the Marine and Coastal Access Act 2009.,"Marine Management Organisation, Lancaster House, Hampshire Court, Newcastle upon Tyne, NE4 7YH",0300 123 1032,info@marinemanagement.org.uk,https://www.gov.uk/government/organisations/marine-management-organisation,Sir Bill Callaghan,"£40,000 - £50,000",John Tuckett,"£120,000 - £130,000",No,Yes,Yes,PHSO,2013 - 14,2013,"£21,583,000","£24,068,000",279,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial appointment,Paid  ,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Maritime and Coastguard Agency,Department for Transport,Executive Agency,-,Yes,"The Maritime and Coastguard Agency (MCA) is an Executive Agency of the DfT. It provides a 24-hour maritime search and rescue service; enforces ship safety, prevents pollution, promotes seafarer health, safety and welfare standards by survey and inspection; registers and certificates ships and seafarers; and manages pollution prevention and response.",Established on 1 April 1998.  Sir Alan Massey chairs the MCA's Executive Board,"(Head Office) Spring Place, 105 Commercial Rd, Southampton SO15 1EG
",023 8032 9100,infoline@mcga.gov.uk,http://www.dft.gov.uk/mca/,-,-,Sir Alan Massey,"£115,000-120,000",No,No,Yes,PHSO,2013-2014,-,"£167,205,406","£179,359,967","1,014",NAO,No,-,-,-,-,-,Non-ministerial,Paid,5,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Marshall Aid Commemoration Commission,Foreign and Commonwealth Office,Executive NDPB,Retain,No,Set up by Marshall Aid Commission Act 1953 to oversee Marshall Scholarships; which are postgraduate Scholarships in the United Kingdom for American students with the potential to excel in their chosen fields of study and future careers.,Established 1953. Board meeting minutes may be provided upon request. ,"C/o ACU, Woburn Place, 22-24 Tavistock Square, London  WC1H 9HF",0207 380 6703,macc@acu.ac.uk,http://www.marshallscholarship.org/,Dr E John Hughes,£0,Dr John Kirkland,Admin Fee charged to Commission for Secretariat Services includes Dr Kirkland's costs,No,No,Yes,PHSO,2013-14,2015,"£2,000,000","£2,179,030",0,NAO,Yes,Ministerial Appt,Unpaid,1,-,-,Ministerial Appt,Unpaid,7,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Medical Research Council (MRC),"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The Medical Research Council is dedicated to improving human health. It supports research across the spectrum of medical sciences, in universities and hospitals, in its own units and institutes in the UK, and in units in Africa.",The Medical Research Council was founded in 1913 to tackle the public health menace of tuberculosis.  ,"Polaris House, North Star Avenue, Swindon, SN2 1FL",01793 416200,corporate@headoffice.mrc.ac.uk,http://www.mrc.ac.uk/,Mr Donald Brydon,"£16,430",Professor Sir John Savill,"£135,000-140,000",Yes,Yes,Yes,PHSO,2013-14,2014,"£727,128,000","£888,114,000","2,531",NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,10,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Medicines and Healthcare Products Regulatory Agency,Department of Health,Executive Agency,-,Yes,The MHRA is responsible for regulating all medicines and medical devices in the UK by ensuring they work and are acceptably safe.,"Trading Fund.  The Chair and eight members are non executive directors. The staff employed (FTE) figure is the average for the year.
",151 Buckingham Palace Road SW1W 9SZ,020 3080 6000,info@mhra.gsi.gov.uk,http://www.mhra.gov.uk/,Professor Sir Michael Rawlins,"£60,000 - £65,000",Dr Ian Hudson,"£145,000- £150,000",No,Yes,Yes,PHSO,2013-14,2013/14,"£28,850,000","£122,108,000","1,200",NAO,No,Ministerial,Paid,1,-,-,Ministerial ,Paid,6,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Met Office,"Department for Business, Innovation and Skills",Executive Agency,-,No,"Met Office provides weather and climate-related services to the Armed Forces, government departments, the public, civil aviation, shipping, industry, agriculture and commerce","Established 1854. Currently agreeing terms of reference for review, not a Triennial Review but using Triennial Review methodology.","FitzRoy Road, Exeter, Devon, EX1 3PB",0870 900 0100,enquiries@metoffice.gov.uk,http://www.metoffice.gov.uk/,Greg Clarke,"£35,000-40,000",Rob Varley ,"£110,000-115,000",No,Yes,Yes,-,2013-14,-,"£175,000,000","£196,100,000","1,977",NAO,No,Ministerial,Paid,1,-,-,Ministerial,Paid (excluding ShEx NED),6,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Migration Advisory Committee,Home Office,Advisory NDPB,Retain,No,"Provides independent, evidence based advice to government on migration, particularly shortages in the labour market where migration can contribute.",Established 2007.,"Migration Advisory Committee, 3rd Floor, Seacole Building, Home Office, 2 Marsham Street, London, SW1P 4DF",020 7035 1764,mac@homeoffice.gsi.gov.uk,https://www.gov.uk/government/organisations/migration-advisory-committee/about#corporate-report,Professor Sir David Metcalf CBE,"£42,000",Tim Harrison (Secretary),Civil Servant,No,Yes,Yes,N/A,2013-14,2013,"£740,000","£640,612",12,N/A,Yes,Ministerial,Paid,1,-,-,4,fees,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Monitor,Department of Health,Executive NDPB,Retain,Yes,"Monitor is the sector regulator for health services in England. Our job is to protect and promote the interests of patients by ensuring that the whole sector works for their benefit. Monitor has an on-going role in assessing NHS Trusts for foundation trust status, and for ensuring that foundation trusts are well-led, in terms of both quality and finances.","Baroness Hanham stood down as Chair of Monitor on 31 July 2015 and was replaced by Ed Smith. NHS Trust Development Authority and Monitor will work under a joint leadership team with a single Chief Executive and a new operating name of NHS Improvement. Monitor and TDA remain separate legal entities so will continue to have individual accounts and separate organisational budgets. Whilst there will be shared costs between the organisations, these will be reflected in the accounts of each organisation in the appropriate proportions. David Bennett does not take a pension.","Wellington House, 133-155 Waterloo Road, London SE1 8UG",020 3747 0000,enquiries@monitor.gov.uk,https://www.gov.uk/government/organisations/monitor,Baroness Joan Hanham ,"£63,000",David Bennett,"£230,010",Yes,Yes,Yes,PHSO,2013/14 (audited),2010,"£63,700,000","£72,253,000",460,NAO,Yes,Ministerial,Paid,-,1,-,Ministerial,Paid,4,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"National Archives, The","National Archives, The",Non Ministerial Department,Retain,Yes,"As the government's national archive for England, Wales and the United Kingdom, we hold over 1,000 years of the nation's records for everyone to discover and use.",Created in 2003 through combining the Public Record Office and the Historical Manuscripts Commission; then in 2006 merged with Office of Public Sector Information,"Kew, Richmond, Surrey, TW9 4DU",020 8876 3444,enquiry@nationalarchives.gsi.gov.uk,http://www.nationalarchives.gov.uk/,-,-,Jeff James,"full-year equivalent £115,000 - £120,000 in bands of £5,000",Yes,Yes,Yes,PHSO,2013-14,-,"£36,677,000","£47,549,000",609,NAO,No,Ministerial,Paid,1,0,0,Non-ministerial,Paid,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National Army Museum,Ministry of Defence,Executive NDPB,Retain,No,"To gather, maintain and make known the story of the British Army and its role and impact in world history. To provide a museum experience that meets the widest range of public need and connects the British public with its Army.",Established 1960.,"Royal Hospital Road, London,  SW3 4HT",020 7730 0717,INFO@NAM.AC.UK,http://www.nam.ac.uk,General Sir Richard Shirreff KCB CBE,£0,Mrs Janice Murray,"£106,129",No,Yes,Yes,PHSO,2014-15,2009,"£10,865,523","£5,477,513",43,NAO,No,Non-Ministerial,Unpaid,1,-,-,Non-Ministerial,Unpaid,8,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National College for Teaching and Leadership,Department for Education,Executive Agency,-,Yes,"The focus of the agency is on developing a school-led system, promoting high quality teaching and leadership, and leading on delivering school workforce reforms. Its remit includes teacher training, continuous professional development, leadership development, and supporting school improvement to address underperformance in the education system.","Figures are aggregated from the previously separate Teaching Agency and National College for School Leadership, which were merged at the end of 2012-13 to form the National College for Teaching and Leadership.  ","Sanctuary Building, Great Smith Street, London SW1P 3BT",0345 609 0009,college.enquiries@bt.com,https://www.gov.uk/government/organisations/national-college-for-teaching-and-leadership,-,-,Charlie Taylor,"£140,000 to £145,000",No,No,Yes,PHSO,2013-14,-,"£375,500,000","£399,000,000",312,NAO,No,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National Crime Agency,National Crime Agency,Non Ministerial Department,-,No,The mission of the National Crime Agency (NCA) is to lead the UK's fight to cut serious and organised crime.,The NCA became operational on 07 October 2013.Ê,"1-7 Old Queen Street, London, SW1H 9HP",0370 496 7622,communication@nca.x.gsi.gov.uk,http://www.nationalcrimeagency.gov.uk,-,-,Keith Bristow,"£220,000 - 225,000 ",No,Yes,Yes,"IPCC (Independent Police Complaints Commission (for England & Wales)), PIRC (Police Investigations & Review Commissioner (for Scotland)), PONI (Police Ombudsman for Northern Ireland) and Parliamentary and Health Service Ombudsman",2013-14,N/A,"£694,454,000","£518,260,000","4,250",NAO,No,-,-,-,-,-,Ministerial (Director General),paid,15,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National Crime Agency Remuneration Review Body,Home Office,Advisory NDPB,-,No,The National Crime Agency Remuneration Review Body (NCARRB) makes independent recommendations to the government on the pay and allowances of National Crime Agency (NCA) officers designated with operational powers. These officers are subject to legislative restrictions on industrial action.,The NCA was established by the Crime and Courts Act 2013 and became operational on 7 October 2013. The NCARRB was established under the National Crime Agency (Remuneration Review Body) Regulations which came into force on 29 August 2013.,"Fleetbank House, 2-6 Salisbury Square, London,  EC4Y 8JX",020 7271 0495,charles.jordan@bis.gsi.gov.uk,https://www.gov.uk/government/organisations/national-crime-agency-remuneration-review-body,David Lebrecht,£350 p.d,William Blase (Secretary),Civil Servant,No,No,Yes,N/A,N/A,N/A,"£127,810","£142,394",4,NAO,Yes,Ministerial appointment,Paid,1,-,-,Ministerial,Paid,4,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National DNA Database Ethics Group (NDNADEG),Home Office,Advisory NDPB,Retain,No,To provide independent advice on ethical issues around the operations of the National DNA Database.,"Established May 2007. Chair and membership are unremunerated posts but reimbursed for travel and subsistence.  Secretary update: Kenny Chigbo has left. Mike Taylor is temporarily acting as Secretary. Government funding was a single funding budget for the ASC, ACMD, NDNAD EG. Expenditure was total expenditure for the ASC, ACMD, NDNAD EG.","1st Floor, Peel Bldg, 2 Marsham Street, London SW1P 4DF.  ",020 7035 3049,ndnadeg@homeoffice.gsi.gov.uk,https://www.gov.uk/government/organisations/national-dna-database-ethics-group,Christopher Hughes,£0,Mike Taylor (interim Secretary) (Kenny Chigbo),Civil Servant,No,Yes,Yes,N/A,2014-15,None,See ACMD,See ACMD,1,N/A,Yes,Ministerial,Unpaid,1,0,0,10 (all) ministerial,10 (all) unpaid,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National Employer Advisory Board,Ministry of Defence,Advisory NDPB,Retain,No,"National Employer Advisory Board exists to provide informed but independent strategic advice to the Secretary of State for Defence and the MOD about how the MOD can most effectively gain and maintain the support of the employers of Britain's Reserve Forces.  The Board shall not exceed 15 members, and include representatives from the Confederation of British Industry, the Trades Union Congress, the Institute of Directors and the British Chambers of Commerce. The Board should provide wide geographical coverage of the UK and a broad representation between manufacturing and service industries, large and small companies and public sector.",Established 2002 (NEAB is the successor to the National Employers' Liaison Committee).,"The National Employers Advisory Board, Floor 6, Zone D, MOD Main Building, Whitehall, London, SW1A 2HB.",020 7807 0326,PeopleRFC-CapPolSO1@mod.uk,https://www.gov.uk/government/organisations/national-employer-advisory-board,Mr R Boggis-Rolfe,£0,Lt Col D A Plews ,Military Officer,No,No,No,PHSO,2009-10,2013,£0,£0,0,NAO,Yes,Ministerial,Unpaid,1,-,-,Ministerial,Unpaid,14,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National Employment Savings Trust (NEST) Corporation,Department for Work and Pensions,Executive NDPB,Retain,No,NEST Corporation is the Trustee of the NEST Pension Scheme established to support automatic enrolment by addressing a market failure ensuring all employers have access to a low-cost workplace pension scheme to meet their new duties. NEST has a Public Service Obligation to admit any employer who wishes to use it to meet their duties.,NEST Corporation is a body corporate set up in July 2010 as the successor to the Personal Accounts Delivery Authority (PADA) and is funded by i) Grant-in-aid which covers costs associated with being an NDPB; ii) A government loan; iii) State aid which reduces the interest on the loan from the commercial rate of interest to the Government rate of borrowing. It has dual status as an Executive NDPB and a Public Corporation. In the 2014/15 financial year NEST Corporation received £87.8m in the form of a government (DWP) loan with interest at the standard government rate. ,"Riverside House, 2a Southwark Bridge Road, London, SE1 9HA",020 3056 3600,enquiries@nestcorporation.org.uk,http://www.nestpensions.org.uk/,"Lawrence Churchill (Otto Thoresen)
","£80,000-85,000 (£15,000-20,000)",Tim Jones,"£245,000-250,000 ",No,Yes,Yes,Pensions Ombudsman,2013-14,-,"£100,515,000","£98,525,000",250,NAO,Yes,Ministerial,Paid,1,-,1,Ministerial,Paid,6,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National Forest Company,"Department for Environment, Food and Rural Affairs",Executive NDPB,Retain,No,To oversee the creation of The National Forest located in the English Midlands.,Established in April 1995,"Enterprise Glade, Bath Yard, Moira, Swadlincote, Derbyshire. DE12 6BA",01283 551211     ,enquiries@nationalforest.org,http://www.nationalforest.org/,Catherine Graham - Harrison,"£10,000-£20,000",John Everitt,"£60,000 - £70,000",No,Yes,Yes,PHSO,2013-14,2013,"£2,570,820","£2,962,526",16,NAO,Yes,Non Ministerial,Paid,0,1,0,Ministerial,Paid,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
